@RELATION testKashtanka

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,-1,0,1,1,0,0,0,0,0,0.3844660194174757,'object'
0,1,0,2,0,0,0,0,0,0,-0.7300970873786408,'object'
0,1,1,2,1,0,0,0,0,0,-0.0970873786407767,'person'
0,0,0,2,1,0,0,1,1,0,-0.013592233009708736,'object'
0,1,0,1,1,0,0,0,0,0,-0.16893203883495145,'object'
0,1,1,2,0,0,2,0,0,0,0.025242718446601975,'object'
0,0,0,2,0,0,0,0,0,0,-0.0970873786407767,'something'
0,0,0,2,0,0,0,0,0,0,-0.2077669902912621,'something'
0,0,0,2,1,1,0,0,1,0,0.7145631067961165,'object'
0,1,1,2,1,0,0,0,0,0,-0.5359223300970873,'person'
0,0,0,1,0,0,0,0,0,0,0.025242718446601975,'something'
0,-1,0,1,0,0,0,0,0,0,-0.36699029126213595,'something'
0,1,0,2,0,0,0,0,0,0,-0.021359223300970953,'object'
0,1,0,1,0,0,0,0,0,0,-0.5359223300970873,'something'
0,1,0,1,0,0,0,0,0,0,-0.36699029126213595,'something'
0,-1,0,1,0,0,0,0,0,0,-0.36699029126213595,'something'
0,0,0,1,0,0,0,0,0,0,-0.036893203883495145,'something'
0,-1,0,2,1,0,0,1,0,0,-0.7300970873786408,'object'
0,1,1,3,2,0,0,1,1,0,0.7262135922330097,'person'
0,1,1,3,0,0,0,0,0,0,0.3533980582524272,'person'
0,-1,0,1,0,0,0,0,0,0,0.025242718446601975,'something'
0,-1,0,1,0,0,0,0,0,0,0.19417475728155342,'something'
0,1,0,4,2,0,0,0,1,0,0.32815533980582523,'object'
0,-1,0,1,0,0,0,0,0,0,0.025242718446601975,'something'
0,1,0,1,0,0,0,0,0,0,0.025242718446601975,'something'
0,0,0,9,5,4,0,1,0,0,-0.040776699029126284,'person'
