@RELATION trainLidianka

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,-1,0,2,1,0,0,0,0,0,-0.1922077922077922,'person'
0,-1,1,2,1,1,0,0,0,0,0.48571428571428577,'person'
0,1,1,1,2,0,0,0,0,0,0.6857142857142857,'person'
0,1,1,6,3,2,0,0,3,0,0.7610389610389611,'person'
1,1,1,1,1,0,0,0,0,0,-0.1922077922077922,'person'
0,1,1,2,0,0,0,0,0,0,-0.7454545454545455,'person'
0,-1,1,2,0,0,0,0,0,1,-0.5532467532467532,'person'
0,-1,1,2,0,0,0,0,0,0,-0.40519480519480516,'person'
0,1,1,1,1,0,0,0,0,0,-0.04155844155844156,'person'
0,-1,1,2,0,0,0,0,0,0,0.6233766233766234,'person'
1,1,1,1,1,0,2,0,0,0,0.0,'person'
0,-1,1,2,1,0,0,0,0,0,0.8727272727272727,'person'
1,1,1,6,1,0,1,0,1,0,0.7168831168831168,'person'
0,-1,1,1,0,0,0,0,0,0,-0.01038961038961039,'person'
1,1,1,1,0,0,0,0,0,0,-0.1922077922077922,'person'
0,-1,1,4,3,0,0,0,0,0,0.6233766233766234,'person'
0,1,1,1,2,0,0,0,0,0,-0.1922077922077922,'person'
0,0,0,2,1,1,0,1,1,0,-0.0987012987012987,'object'
0,1,0,2,1,0,0,1,0,0,-0.7454545454545455,'object'
0,-1,0,1,0,0,0,0,0,0,0.7168831168831168,'object'
0,1,0,1,0,0,0,0,0,0,0.12467532467532472,'object'
0,1,0,1,5,2,0,2,0,0,0.025974025974025983,'object'
0,1,0,3,2,0,0,2,1,0,-0.03376623376623378,'object'
0,0,0,6,0,0,0,0,0,0,0.37922077922077924,'object'
0,1,0,2,1,0,0,0,0,0,0.2623376623376623,'object'
0,1,0,3,1,1,0,0,0,0,0.17922077922077917,'object'
0,1,0,3,0,0,4,0,0,0,0.48571428571428577,'object'
0,1,1,1,1,0,0,0,0,0,-0.0987012987012987,'object'
0,1,0,2,0,0,0,0,0,0,-0.22857142857142854,'object'
0,1,0,2,2,1,0,0,1,0,0.12467532467532472,'object'
0,1,0,3,0,0,2,0,0,0,0.12467532467532472,'object'
0,1,0,1,1,0,0,1,0,0,-0.5532467532467532,'object'
0,-1,0,1,2,0,0,0,0,0,0.4675324675324675,'object'
0,-1,0,1,1,0,0,0,0,0,0.27272727272727276,'object'
0,1,0,6,4,1,0,2,4,0,0.7766233766233767,'object'
0,0,1,3,2,0,0,1,1,0,0.16363636363636358,'object'
0,0,0,5,3,1,0,2,3,0,0.4675324675324675,'object'
0,0,0,1,1,0,0,1,1,0,-0.40519480519480516,'object'
0,0,0,4,1,1,0,1,0,0,0.41038961038961036,'object'
0,-1,0,2,0,0,2,0,0,0,-0.04155844155844156,'object'
0,0,0,3,2,0,0,0,4,0,0.3194805194805195,'object'
0,1,0,2,1,1,0,0,1,0,-0.5532467532467532,'object'
0,-1,0,1,2,0,0,0,0,0,0.07012987012987004,'object'
0,-1,0,1,1,0,0,0,0,0,0.0,'object'
0,1,0,8,4,2,4,2,2,0,0.4233766233766234,'object'
0,0,0,2,0,0,2,0,0,0,-0.04155844155844156,'object'
0,-1,0,8,3,0,0,0,0,0,0.21298701298701295,'object'
0,-1,0,2,1,0,0,1,1,0,-0.5532467532467532,'object'
0,1,0,1,0,0,0,0,0,0,-0.1922077922077922,'object'
0,1,0,1,1,0,0,0,0,0,-0.7454545454545455,'object'
0,1,0,3,0,0,4,0,0,0,-0.06753246753246755,'object'
0,1,0,1,3,0,0,0,1,0,0.5038961038961038,'object'
0,-1,0,1,1,0,0,0,0,0,-0.21038961038961038,'object'
1,1,1,2,0,0,0,0,0,0,-0.40519480519480516,'object'
